"Product Name","Category","Sub-Category","total_revenue","total_profit","profit_margin_pct","total_units_sold"
"Hoover Microwave  Silver","Office Supplies","Appliances","7378","2630","35.65","29"
"Hoover Microwave  White","Office Supplies","Appliances","14674","2621","17.86","58"
"Canon Wireless Fax  Color","Technology","Copiers","26586","2615","9.84","97"
"Sauder Floating Shelf Set  Mobile","Furniture","Bookcases","9710","2604","26.81","60"
"HP Copy Machine  Laser","Technology","Copiers","14616","2563","17.54","74"
"Canon Fax and Copier  Digital","Technology","Copiers","10276","2554","24.86","65"
"Cuisinart Stove  Silver","Office Supplies","Appliances","16099","2551","15.85","41"
"Sharp Fax and Copier  Color","Technology","Copiers","9740","2549","26.17","70"
"Motorola Signal Booster  Cordless","Technology","Phones","10151","2528","24.90","98"
"HP Fax and Copier  Digital","Technology","Copiers","8429","2524","29.95","60"
"Konica Inkjet  Wireless","Technology","Machines","19911","2523","12.67","76"
"Cisco Audio Dock  VoIP","Technology","Phones","8914","2519","28.26","58"
"Fellowes PB300 Plastic Comb Binding Machine","Office Supplies","Binders","8070","2518","31.20","27"
"Breville Stove  Red","Office Supplies","Appliances","13140","2515","19.14","28"
"Sharp Wireless Fax  Digital","Technology","Copiers","20746","2505","12.08","76"
"Safco Stackable Bookrack  Pine","Furniture","Bookcases","15582","2496","16.02","135"
"Cisco Audio Dock  with Caller ID","Technology","Phones","9610","2489","25.90","64"
"Bush Stackable Bookrack  Pine","Furniture","Bookcases","15634","2480","15.86","165"
"SAFCO Swivel Stool  Set of Two","Furniture","Chairs","12396","2465","19.89","87"
"Dania Stackable Bookrack  Traditional","Furniture","Bookcases","7830","2436","31.12","80"
"Breville Stove  Black","Office Supplies","Appliances","9723","2419","24.88","20"
"Hamilton Beach Refrigerator  Red","Office Supplies","Appliances","17251","2418","14.02","40"
"Konica Printer  White","Technology","Machines","8414","2414","28.69","35"
"Hamilton Beach Refrigerator  White","Office Supplies","Appliances","13586","2405","17.70","37"
"Rogers File Cart  Single Width","Office Supplies","Storage","29466","2395","8.13","262"
"Hewlett Fax Machine  Digital","Technology","Copiers","7177","2377","33.12","26"
"Hewlett Fax Machine  Color","Technology","Copiers","12680","2358","18.60","46"
"StarTech Inkjet  White","Technology","Machines","7368","2355","31.96","30"
"Motorola Audio Dock  with Caller ID","Technology","Phones","7660","2337","30.50","57"
"Bush Corner Shelving  Pine","Furniture","Bookcases","6775","2331","34.40","71"
"Samsung Audio Dock  Cordless","Technology","Phones","12465","2328","18.67","89"
"Logitech Router  Programmable","Technology","Accessories","7695","2325","30.21","37"
"Ibico Ibimaster 300 Manual Binding System","Office Supplies","Binders","7985","2318","29.03","28"
"Dania Floating Shelf Set  Metal","Furniture","Bookcases","9772","2310","23.64","68"
"Hon Rocking Chair  Black","Furniture","Chairs","10510","2308","21.96","116"
"Sharp Personal Copier  Digital","Technology","Copiers","9208","2293","24.90","92"
"Novimex Executive Leather Armchair  Black","Furniture","Chairs","28630","2291","8.00","80"
"Sauder Floating Shelf Set  Metal","Furniture","Bookcases","11849","2272","19.18","73"
"Brother Copy Machine  High-Speed","Technology","Copiers","10603","2272","21.43","54"
"Smead File Cart  Industrial","Office Supplies","Storage","13666","2259","16.53","128"
"Logitech Z-906 Speaker sys - home theater - 5.1-CH","Technology","Accessories","5610","2244","40.00","17"
"GBC DocuBind TL300 Electric Binding System","Office Supplies","Binders","19823","2234","11.27","37"
"Cuisinart Stove  Black","Office Supplies","Appliances","12432","2215","17.82","32"
"Deflect-O Frame  Durable","Furniture","Furnishings","6745","2203","32.66","77"
"Ikea Stackable Bookrack  Pine","Furniture","Bookcases","6184","2183","35.30","55"
"Hamilton Beach Microwave  Red","Office Supplies","Appliances","8325","2158","25.93","37"
"Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset","Technology","Accessories","5120","2156","42.11","26"
"Breville Refrigerator  Red","Office Supplies","Appliances","18450","2153","11.67","44"
"Cuisinart Refrigerator  Black","Office Supplies","Appliances","14221","2152","15.13","39"
"Safco 3-Shelf Cabinet  Metal","Furniture","Bookcases","8168","2140","26.20","60"
"Logitech Router  Erganomic","Technology","Accessories","10426","2137","20.49","50"
"Boston Sketch Pad  Blue","Office Supplies","Art","6037","2136","35.38","143"
"Okidata Card Printer  White","Technology","Machines","8506","2119","24.91","63"
"Sauder 3-Shelf Cabinet  Mobile","Furniture","Bookcases","10835","2119","19.55","90"
"Sharp Wireless Fax  High-Speed","Technology","Copiers","16027","2109","13.16","51"
"Hewlett Copy Machine  Color","Technology","Copiers","29709","2103","7.08","152"
"Epson Card Printer  Durable","Technology","Machines","10306","2101","20.39","69"
"Hewlett Fax and Copier  High-Speed","Technology","Copiers","8951","2097","23.43","58"
"Samsung Signal Booster  Cordless","Technology","Phones","8523","2096","24.59","79"
"Canon PC940 Copier","Technology","Copiers","5670","2092","36.90","15"
"HP Wireless Fax  High-Speed","Technology","Copiers","12299","2091","17.00","45"
"Cisco Signal Booster  VoIP","Technology","Phones","13916","2082","14.96","110"
"Cisco Headset  with Caller ID","Technology","Phones","6277","2079","33.12","81"
"Safco Classic Bookcase  Traditional","Furniture","Bookcases","26231","2073","7.90","80"
"Sharp AL-1530CS Digital Copier","Technology","Copiers","6400","2065","32.27","17"
"Samsung Signal Booster  Full Size","Technology","Phones","8555","2060","24.08","75"
"SAFCO Swivel Stool  Adjustable","Furniture","Chairs","7872","2058","26.14","57"
"HP Personal Copier  Laser","Technology","Copiers","6338","2046","32.28","65"
"Rogers Trays  Wire Frame","Office Supplies","Storage","6254","2017","32.25","127"
"Hot File 7-Pocket  Floor Stand","Office Supplies","Storage","8138","2017","24.78","49"
"Canon Fax Machine  High-Speed","Technology","Copiers","22340","2012","9.00","82"
"Apple Office Telephone  Cordless","Technology","Phones","5058","2007","39.69","94"
"Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier","Technology","Machines","3992","1996","50.00","2"
"Epson Printer  Durable","Technology","Machines","10422","1980","19.00","46"
"Canon PC1080F Personal Copier","Technology","Copiers","6000","1974","32.90","11"
"Samsung Smart Phone  Full Size","Technology","Phones","20993","1972","9.39","43"
"Hoover Stove  Black","Office Supplies","Appliances","15894","1964","12.36","35"
"Belkin Memory Card  Programmable","Technology","Accessories","8750","1957","22.37","93"
"Fellowes Shelving  Wire Frame","Office Supplies","Storage","5669","1953","34.46","131"
"Belkin Router  Erganomic","Technology","Accessories","19889","1945","9.78","99"
"Dania Stackable Bookrack  Pine","Furniture","Bookcases","12629","1940","15.36","126"
"Adjustable Depth Letter/Legal Cart","Office Supplies","Storage","7730","1933","25.00","45"
"KitchenAid Microwave  Black","Office Supplies","Appliances","8622","1929","22.38","33"
"Samsung Audio Dock  Full Size","Technology","Phones","9731","1927","19.81","67"
"Hon Deluxe Fabric Upholstered Stacking Chairs  Rounded Back","Furniture","Chairs","10638","1927","18.12","51"
"Dania Corner Shelving  Metal","Furniture","Bookcases","7417","1924","25.93","85"
"Hon Training Table  Adjustable Height","Furniture","Tables","5727","1912","33.38","19"
"Canon Personal Copier  Laser","Technology","Copiers","6269","1908","30.44","50"
"Office Star Executive Leather Armchair  Black","Furniture","Chairs","29422","1898","6.45","89"
"Office Star Steel Folding Chair  Adjustable","Furniture","Chairs","6993","1896","27.11","102"
"Hoover Refrigerator  Silver","Office Supplies","Appliances","7800","1886","24.19","19"
"KitchenAid Microwave  Red","Office Supplies","Appliances","12713","1879","14.78","47"
"Canon Fax Machine  Laser","Technology","Copiers","10927","1870","17.11","42"
"Enermax Router  USB","Technology","Accessories","10233","1866","18.24","47"
"Belkin Router  Programmable","Technology","Accessories","6901","1854","26.86","33"
"Sanford Pencil Sharpener  Easy-Erase","Office Supplies","Art","4393","1838","41.84","193"
"Konica Card Printer  Red","Technology","Machines","9125","1837","20.13","67"
"Rogers Trays  Industrial","Office Supplies","Storage","6701","1831","27.33","127"
"Samsung Galaxy Mega 6.3","Technology","Phones","13944","1823","13.07","39"
"Ibico Binding Machine  Durable","Office Supplies","Binders","6411","1822","28.42","148"
"Hewlett Fax Machine  High-Speed","Technology","Copiers","20987","1808","8.62","84"
"BIC Canvas  Fluorescent","Office Supplies","Art","6534","1799","27.54","137"
"Belkin Numeric Keypad  Bluetooth","Technology","Accessories","5121","1796","35.08","108"
"KitchenAid Blender  Silver","Office Supplies","Appliances","5810","1792","30.83","73"
"KitchenAid Stove  Black","Office Supplies","Appliances","19550","1782","9.12","50"
"Barricks Training Table  Adjustable Height","Furniture","Tables","8701","1759","20.22","30"
"HP Wireless Fax  Color","Technology","Copiers","13011","1759","13.52","47"
"Hewlett Wireless Fax  Laser","Technology","Copiers","21543","1758","8.16","73"
"Dania Library with Doors  Pine","Furniture","Bookcases","17709","1751","9.89","69"
"Sauder Floating Shelf Set  Traditional","Furniture","Bookcases","7530","1742","23.14","48"
"Epson Phone  Wireless","Technology","Machines","4085","1740","42.60","53"
"Panasonic Printer  Wireless","Technology","Machines","9314","1726","18.53","41"
"Canon Image Class D660 Copier","Technology","Copiers","3960","1692","42.73","7"
"Enermax Router  Erganomic","Technology","Accessories","14231","1690","11.87","71"
"Samsung Speaker Phone  VoIP","Technology","Phones","5813","1681","28.91","50"
"Hon Rocking Chair  Adjustable","Furniture","Chairs","8266","1678","20.29","78"
"Hoover Refrigerator  White","Office Supplies","Appliances","18162","1678","9.24","39"
"Cuisinart Refrigerator  Red","Office Supplies","Appliances","8748","1678","19.19","23"
"Bush Stackable Bookrack  Mobile","Furniture","Bookcases","6443","1675","25.99","64"
"Tenex Trays  Wire Frame","Office Supplies","Storage","4848","1673","34.52","110"
"Konica Receipt Printer  Durable","Technology","Machines","6875","1670","24.29","59"
"Hewlett-Packard Desktjet 6988DT Refurbished Printer","Technology","Machines","3405","1668","49.00","5"
"Tenex Lockers  Blue","Office Supplies","Storage","18203","1668","9.16","114"
"KitchenAid Toaster  White","Office Supplies","Appliances","4712","1666","35.36","62"
"Enermax Router  Programmable","Technology","Accessories","8501","1659","19.52","42"
"SAFCO Executive Leather Armchair  Set of Two","Furniture","Chairs","17107","1656","9.68","56"
"Brother Personal Copier  High-Speed","Technology","Copiers","7946","1655","20.83","68"
"Sanyo Counter Height Refrigerator with Crisper  3.6 Cubic Foot  Stainless Steel/Black","Office Supplies","Appliances","5907","1654","28.00","18"
"Office Star Rocking Chair  Black","Furniture","Chairs","10579","1654","15.63","95"
"Sharp 1540cs Digital Laser Copier","Technology","Copiers","4400","1650","37.50","10"
"Logitech P710e Mobile Speakerphone","Technology","Accessories","10197","1645","16.14","41"
"Dual Level  Single-Width Filing Carts","Office Supplies","Storage","6575","1641","24.95","43"
"Dania Corner Shelving  Traditional","Furniture","Bookcases","9698","1637","16.88","89"
"Sharp Copy Machine  Color","Technology","Copiers","21914","1633","7.45","120"
"Nokia Signal Booster  Cordless","Technology","Phones","9274","1630","17.57","76"
"Canon Copy Machine  Color","Technology","Copiers","16956","1626","9.59","82"
"Tenex Trays  Single Width","Office Supplies","Storage","5855","1614","27.57","133"
"Apple iPhone 5","Technology","Phones","12997","1612","12.40","24"
"GBC DocuBind TL200 Manual Binding Machine","Office Supplies","Binders","4323","1592","36.84","23"
"Panasonic Printer  Durable","Technology","Machines","8300","1587","19.12","34"
"Barricks Conference Table  Fully Assembled","Furniture","Tables","14931","1575","10.55","21"
"Tennsco 6- and 18-Compartment Lockers","Office Supplies","Storage","10925","1575","14.42","43"
"Eldon Lockers  Wire Frame","Office Supplies","Storage","14953","1573","10.52","104"
"Sanford Sketch Pad  Fluorescent","Office Supplies","Art","5053","1566","30.99","136"
"Global Deluxe High-Back Managers Chair","Furniture","Chairs","8665","1559","17.99","35"
"HP Fax and Copier  Color","Technology","Copiers","6609","1558","23.58","51"
"Hon Pagoda Stacking Chairs","Furniture","Chairs","6484","1541","23.76","22"
"Binney & Smith Canvas  Water Color","Office Supplies","Art","4390","1534","34.95","99"
"Panasonic Printer  White","Technology","Machines","8494","1532","18.04","40"
"Hoover Microwave  Black","Office Supplies","Appliances","7967","1529","19.19","32"
"Deflect-O Frame  Black","Furniture","Furnishings","6740","1526","22.65","85"
"Fellowes Trays  Single Width","Office Supplies","Storage","4894","1524","31.15","110"
"Canon Copy Machine  High-Speed","Technology","Copiers","11415","1524","13.35","56"
"Nokia Audio Dock  VoIP","Technology","Phones","12043","1522","12.64","92"
"Ikea Stackable Bookrack  Traditional","Furniture","Bookcases","6543","1521","23.24","62"
"Sanford Sketch Pad  Water Color","Office Supplies","Art","4270","1519","35.58","97"
"Dot Matrix Printer Tape Reel Labels  White  5000/Box","Office Supplies","Labels","3323","1518","45.68","36"
"Canon Copy Machine  Laser","Technology","Copiers","13033","1515","11.62","64"
"Brother Personal Copier  Color","Technology","Copiers","6195","1505","24.29","64"
"Honeywell Enviracaire Portable HEPA Air Cleaner for 16 x 20 Room","Office Supplies","Appliances","3855","1504","39.00","14"
"Hewlett Ink  Digital","Technology","Copiers","6749","1498","22.20","65"
"Cuisinart Refrigerator  White","Office Supplies","Appliances","6202","1497","24.14","14"
"Stanley Canvas  Water Color","Office Supplies","Art","4503","1485","32.97","98"
"Apple Headset  Full Size","Technology","Phones","6138","1477","24.05","98"
"Sauder Floating Shelf Set  Pine","Furniture","Bookcases","13323","1471","11.04","95"
"Canon PC-428 Personal Copier","Technology","Copiers","4120","1470","35.68","25"
"Eldon Frame  Durable","Furniture","Furnishings","7125","1464","20.55","80"
"Hewlett-Packard Deskjet 3050a All-in-One Color Inkjet Printer","Technology","Machines","3040","1459","48.00","8"
"Samsung Audio Dock  VoIP","Technology","Phones","5617","1453","25.87","47"
"Safco Classic Bookcase  Mobile","Furniture","Bookcases","27696","1451","5.24","85"
"Novimex Executive Leather Armchair  Red","Furniture","Chairs","38815","1450","3.74","118"
"Novimex Swivel Stool  Set of Two","Furniture","Chairs","6052","1448","23.93","45"
"Logitech diNovo Edge Keyboard","Technology","Accessories","7400","1432","19.36","31"
"Office Star Chairmat  Set of Two","Furniture","Chairs","4351","1426","32.78","87"
"Safco Corner Shelving  Traditional","Furniture","Bookcases","7792","1425","18.29","71"
"Dania Stackable Bookrack  Mobile","Furniture","Bookcases","5419","1421","26.23","63"
"SAFCO Steel Folding Chair  Red","Furniture","Chairs","6974","1420","20.37","101"
"Tenex File Cart  Blue","Office Supplies","Storage","9773","1418","14.50","86"
"Okidata Receipt Printer  Wireless","Technology","Machines","6141","1415","23.03","58"
"Hewlett Fax and Copier  Laser","Technology","Copiers","11536","1410","12.22","80"
"Harbour Creations Chairmat  Red","Furniture","Chairs","5576","1407","25.23","95"
"Advantus Frame  Erganomic","Furniture","Furnishings","5416","1403","25.90","65"
"Canon Ink  Color","Technology","Copiers","5553","1400","25.20","46"
"Samsung Headset  VoIP","Technology","Phones","4232","1398","33.02","72"
"Iceberg Mobile Mega Data/Printer Cart","Office Supplies","Storage","5752","1389","24.14","49"
"Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs","Furniture","Chairs","8431","1389","16.47","34"
"Nokia Speaker Phone  Cordless","Technology","Phones","7280","1383","19.00","75"
"Fiskars Trimmer  Easy Grip","Office Supplies","Supplies","4467","1382","30.94","119"
"Deluxe Rollaway Locking File with Drawer","Office Supplies","Storage","5573","1381","24.78","14"
"Sanford Sketch Pad  Easy-Erase","Office Supplies","Art","3262","1372","42.06","76"
"Cisco Headset  Full Size","Technology","Phones","5323","1372","25.78","68"
"Hoover Refrigerator  Black","Office Supplies","Appliances","7815","1372","17.55","18"
"Ikea 3-Shelf Cabinet  Traditional","Furniture","Bookcases","4561","1369","30.02","41"
"Nokia Headset  Cordless","Technology","Phones","5510","1369","24.84","96"
"Safco Floating Shelf Set  Mobile","Furniture","Bookcases","9311","1363","14.64","61"
"SAFCO Rocking Chair  Set of Two","Furniture","Chairs","8696","1358","15.62","78"
"Novimex Chairmat  Set of Two","Furniture","Chairs","4712","1355","28.75","102"
"Enermax Memory Card  Programmable","Technology","Accessories","4919","1348","27.40","54"
"Cardinal 3-Hole Punch  Durable","Office Supplies","Binders","3834","1347","35.13","149"
"Canon Ink  Digital","Technology","Copiers","8740","1346","15.40","76"
"Samsung Headset  Cordless","Technology","Phones","4872","1344","27.59","86"
"HP Ink  High-Speed","Technology","Copiers","7025","1343","19.12","69"
"Hon Training Table  Fully Assembled","Furniture","Tables","5553","1342","24.17","22"
"Smead Shelving  Blue","Office Supplies","Storage","6009","1336","22.24","147"
"Tenex Lockers  Industrial","Office Supplies","Storage","12905","1330","10.30","86"
"Bady BDG101FRU Card Printer","Technology","Machines","9280","1328","14.31","14"
"Stanley Canvas  Fluorescent","Office Supplies","Art","4812","1326","27.55","115"
"Safco Corner Shelving  Mobile","Furniture","Bookcases","6353","1319","20.76","53"
"Apple Audio Dock  VoIP","Technology","Phones","12015","1317","10.96","91"
"Cuisinart Microwave  Red","Office Supplies","Appliances","7769","1317","16.95","31"
"Motorola Headset  with Caller ID","Technology","Phones","5199","1311","25.22","79"
"Office Star Rocking Chair  Red","Furniture","Chairs","7730","1308","16.92","62"
"Office Star Chairmat  Adjustable","Furniture","Chairs","5535","1306","23.59","97"
"Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat","Furniture","Chairs","8775","1306","14.88","28"
"Brother Fax and Copier  Color","Technology","Copiers","11240","1304","11.60","73"
"Sanford Canvas  Fluorescent","Office Supplies","Art","5300","1300","24.52","119"
"Bevis Round Table  Rectangular","Furniture","Tables","8108","1299","16.03","23"
"Hon Olson Stacker Chairs","Furniture","Chairs","5428","1292","23.80","22"
"Konica Card Printer  Wireless","Technology","Machines","4730","1289","27.25","32"
"Brother Copy Machine  Laser","Technology","Copiers","8104","1284","15.85","38"
"Cisco Audio Dock  Full Size","Technology","Phones","12898","1279","9.91","84"
